ABC #,ABC 6,Product Description,NDC,Account #,Account Name,Contract Abbrev Name,Customer PO #,Invoice #,Invoice Date,Order Qty,Shipped Qty,Non-Merchandise,Tax Amount,Invoice Ext Amt,Total Ext Cost,Invoice Price
10000217,2873,TIMOLOL 0.5% O/S 5 ML,61314022705,100068771,SCRIPPS MERCY HOSP CHULA VISTA,HTPG,022224MD_2,3165728145,2/23/2024,11,11,0,0,46.75,46.75,4.25
10000217,2873,TIMOLOL 0.5% O/S 5 ML,61314022705,100068771,SCRIPPS MERCY HOSP CHULA VISTA,HTPG,022924MD_2,3166548336,3/1/2024,11,11,0,0,46.75,46.75,4.25
10000217,2873,TIMOLOL 0.5% O/S 5 ML,61314022705,100068771,SCRIPPS MERCY HOSP CHULA VISTA,HTPG,030624MD_2,3167208182,3/7/2024,12,12,0,0,51,51,4.25
10000217,2873,TIMOLOL 0.5% O/S 5 ML,61314022705,100068771,SCRIPPS MERCY HOSP CHULA VISTA,HTPG,030724MD_2,3167328624,3/8/2024,12,12,0,0,51,51,4.25
10000217,2873,TIMOLOL 0.5% O/S 5 ML,61314022705,100068771,SCRIPPS MERCY HOSP CHULA VISTA,HTPG,031324MD_2,3168001183,3/14/2024,12,12,0,0,51,51,4.25
10000217,2873,TIMOLOL 0.5% O/S 5 ML,61314022705,100068771,SCRIPPS MERCY HOSP CHULA VISTA,HTPG,03242024m_2,3169124357,3/25/2024,10,10,0,0,42.5,42.5,4.25
10000217,2873,TIMOLOL 0.5% O/S 5 ML,61314022705,100068771,SCRIPPS MERCY HOSP CHULA VISTA,HTPG,03292024m1_2,3169810898,3/30/2024,6,6,0,0,25.5,25.5,4.25
10000217,2873,TIMOLOL 0.5% O/S 5 ML,61314022705,100068771,SCRIPPS MERCY HOSP CHULA VISTA,HTPG,111322SOAMD_2,3112565721,11/14/2022,1,1,0,0,4.24,4.24,4.24
10000217,2873,TIMOLOL 0.5% O/S 5 ML,61314022705,100081016,SCRIPPS MERCY CHULA VISTA 340B,APEX,9282022,3107583743,9/29/2022,5,5,0,0,5.75,5.75,1.15
10000217,2873,TIMOLOL 0.5% O/S 5 ML,61314022705,100081016,SCRIPPS MERCY CHULA VISTA 340B,APEX,100222MD_1,3107910299,10/3/2022,4,4,0,0,4.6,4.6,1.15
10000217,2873,TIMOLOL 0.5% O/S 5 ML,61314022705,100081016,SCRIPPS MERCY CHULA VISTA 340B,APEX,10032022,3108034102,10/4/2022,5,5,0,0,5.75,5.75,1.15
10000217,2873,TIMOLOL 0.5% O/S 5 ML,61314022705,100081016,SCRIPPS MERCY CHULA VISTA 340B,APEX,10072022,3108584510,10/8/2022,5,5,0,0,5.75,5.75,1.15
10000217,2873,TIMOLOL 0.5% O/S 5 ML,61314022705,100081016,SCRIPPS MERCY CHULA VISTA 340B,APEX,100922MD_1,3108723828,10/10/2022,5,5,0,0,5.75,5.75,1.15
10000217,2873,TIMOLOL 0.5% O/S 5 ML,61314022705,100081016,SCRIPPS MERCY CHULA VISTA 340B,APEX,10142022,3109326390,10/15/2022,5,5,0,0,5.75,5.75,1.15
10000217,2873,TIMOLOL 0.5% O/S 5 ML,61314022705,100081016,SCRIPPS MERCY CHULA VISTA 340B,APEX,101422MD_1,3109327803,10/15/2022,5,5,0,0,5.75,5.75,1.15
10000217,2873,TIMOLOL 0.5% O/S 5 ML,61314022705,100081016,SCRIPPS MERCY CHULA VISTA 340B,APEX,101622SOAMD_1,3109408494,10/17/2022,15,15,0,0,17.25,17.25,1.15
10000217,2873,TIMOLOL 0.5% O/S 5 ML,61314022705,100081016,SCRIPPS MERCY CHULA VISTA 340B,APEX,102322MD_1,3110244787,10/24/2022,9,9,0,0,10.35,10.35,1.15
10000217,2873,TIMOLOL 0.5% O/S 5 ML,61314022705,100081016,SCRIPPS MERCY CHULA VISTA 340B,APEX,103022MD_1,3110992130,10/31/2022,5,5,0,0,5.75,5.75,1.15
